portfolio_id,portfolio_name,portfolio_type,fund_id,inception_date,status,aum_usd
PF001,Global Equity Core,EQUITY,FD001,2015-01-01,ACTIVE,100000000
PF002,US Large Cap Growth,EQUITY,FD002,2015-04-11,ACTIVE,125000000
PF003,Investment Grade Credit,FIXED_INCOME,FD003,2015-07-20,ACTIVE,150000000
PF004,High Yield Opportunities,FIXED_INCOME,FD004,2015-10-28,ACTIVE,175000000
PF005,Multi-Asset Balanced,MULTI_ASSET,FD001,2016-02-05,ACTIVE,200000000
PF006,Emerging Markets Equity,EQUITY,FD002,2016-05-15,ACTIVE,225000000
PF007,Private Credit Fund I,PRIVATE_CREDIT,FD003,2016-08-23,ACTIVE,250000000
PF008,Real Assets Fund,REAL_ASSETS,FD004,2016-12-01,ACTIVE,275000000
PF009,Tech Innovation Fund,EQUITY,FD001,2017-03-11,ACTIVE,300000000
PF010,Healthcare Sector Focus,EQUITY,FD002,2017-06-19,ACTIVE,325000000
PF011,Infrastructure Opportunities,FIXED_INCOME,FD003,2017-09-27,ACTIVE,350000000
PF012,ESG Leaders,FIXED_INCOME,FD004,2018-01-05,ACTIVE,375000000
PF013,Commodity Exposure,MULTI_ASSET,FD001,2018-04-15,ACTIVE,400000000
PF014,Volatility Hedge Fund,EQUITY,FD002,2018-07-24,ACTIVE,425000000
PF015,International Bonds,PRIVATE_CREDIT,FD003,2018-11-01,ACTIVE,450000000
PF016,Convertible Securities,REAL_ASSETS,FD004,2019-02-09,ACTIVE,475000000
PF017,Small Cap Value,EQUITY,FD001,2019-05-20,ACTIVE,500000000
PF018,Dividend Growth,EQUITY,FD002,2019-08-28,ACTIVE,525000000
PF019,Merger Arbitrage,FIXED_INCOME,FD003,2019-12-06,ACTIVE,550000000
PF020,Alternative Income,FIXED_INCOME,FD004,2020-03-15,ACTIVE,575000000
